"id";"COD_VENDEDOR";"ano";"mes";"tipo";"valor_meta";"data_criacao";"data_atualizacao"
"950";"010504";"2026";"2";"faturamento";"0,00";"13/02/2026 09:35:47";"17/06/2026 15:16:09"
"951";"010504";"2026";"3";"faturamento";"0,00";"13/02/2026 09:35:47";"17/06/2026 15:16:09"
"952";"010504";"2026";"4";"faturamento";"0,00";"13/02/2026 09:35:47";"17/06/2026 15:16:09"
"953";"010504";"2026";"5";"faturamento";"0,00";"13/02/2026 09:35:47";"17/06/2026 15:16:09"
"954";"010504";"2026";"6";"faturamento";"0,00";"13/02/2026 09:35:47";"17/06/2026 15:16:09"
"955";"010504";"2026";"7";"faturamento";"0,00";"13/02/2026 09:35:47";"17/06/2026 15:16:09"
"956";"010504";"2026";"8";"faturamento";"0,00";"13/02/2026 09:35:47";"17/06/2026 15:16:09"
"957";"010504";"2026";"9";"faturamento";"0,00";"13/02/2026 09:35:47";"17/06/2026 15:16:09"
"958";"010504";"2026";"10";"faturamento";"0,00";"13/02/2026 09:35:47";"17/06/2026 15:16:09"
"959";"010504";"2026";"11";"faturamento";"0,00";"13/02/2026 09:35:47";"17/06/2026 15:16:09"
"960";"010504";"2026";"12";"faturamento";"0,00";"13/02/2026 09:35:47";"17/06/2026 15:16:09"
"1021";"010534";"2026";"1";"faturamento";"0,00";"13/02/2026 09:35:47";"05/08/2026 10:28:30"
"1022";"010534";"2026";"2";"faturamento";"0,00";"13/02/2026 09:35:47";"05/08/2026 10:28:31"
"1024";"010534";"2026";"4";"faturamento";"0,00";"13/02/2026 09:35:47";"05/08/2026 10:28:33"
"1083";"010556";"2026";"3";"faturamento";"20000,00";"13/02/2026 09:35:48";"05/08/2026 10:28:33"
"1084";"010556";"2026";"4";"faturamento";"20000,00";"13/02/2026 09:35:48";"05/08/2026 10:28:33"
"1105";"10564";"2026";"1";"faturamento";"4493,00";"13/02/2026 09:35:48";"19/05/2026 10:54:42"
"1106";"10564";"2026";"2";"faturamento";"4493,00";"13/02/2026 09:35:48";"19/05/2026 10:54:42"
"1107";"10564";"2026";"3";"faturamento";"4493,00";"13/02/2026 09:35:48";"19/05/2026 10:54:42"
"1108";"10564";"2026";"4";"faturamento";"80000,00";"13/02/2026 09:35:48";"19/05/2026 10:39:14"
"1120";"010568";"2026";"4";"faturamento";"0,00";"13/02/2026 09:35:48";"05/08/2026 10:28:33"
"1129";"010570";"2026";"1";"faturamento";"0,00";"13/02/2026 09:35:48";"05/08/2026 10:28:31"
"1132";"010570";"2026";"4";"faturamento";"0,00";"13/02/2026 09:35:48";"05/08/2026 10:28:33"
"1153";"010584";"2026";"1";"faturamento";"14309,24";"13/02/2026 09:35:48";"13/02/2026 09:35:48"
"1154";"010584";"2026";"2";"faturamento";"17135,05";"13/02/2026 09:35:48";"13/02/2026 09:35:48"
"1155";"010584";"2026";"3";"faturamento";"14292,86";"13/02/2026 09:35:48";"13/02/2026 09:35:48"
"1156";"010584";"2026";"4";"faturamento";"120000,00";"13/02/2026 09:35:48";"07/04/2026 12:25:28"
"1157";"010584";"2026";"5";"faturamento";"120000,00";"13/02/2026 09:35:48";"07/04/2026 12:25:28"
"1158";"010584";"2026";"6";"faturamento";"120000,00";"13/02/2026 09:35:48";"07/04/2026 12:25:28"
"1159";"010584";"2026";"7";"faturamento";"120000,00";"13/02/2026 09:35:48";"07/04/2026 12:25:28"
"1160";"010584";"2026";"8";"faturamento";"120000,00";"13/02/2026 09:35:48";"07/04/2026 12:25:28"
"1161";"010584";"2026";"9";"faturamento";"120000,00";"13/02/2026 09:35:48";"07/04/2026 12:25:28"
"1162";"010584";"2026";"10";"faturamento";"120000,00";"13/02/2026 09:35:48";"07/04/2026 12:25:28"
"1163";"010584";"2026";"11";"faturamento";"120000,00";"13/02/2026 09:35:48";"07/04/2026 12:25:28"
"1164";"010584";"2026";"12";"faturamento";"120000,00";"13/02/2026 09:35:48";"07/04/2026 12:25:28"
"1249";"010610";"2026";"1";"faturamento";"20000,00";"13/02/2026 09:35:48";"05/08/2026 10:28:30"
"1250";"010610";"2026";"2";"faturamento";"20000,00";"13/02/2026 09:35:48";"05/08/2026 10:28:31"
"1251";"010610";"2026";"3";"faturamento";"20000,00";"13/02/2026 09:35:48";"05/08/2026 10:28:32"
"1252";"010610";"2026";"4";"faturamento";"20000,00";"13/02/2026 09:35:48";"05/08/2026 10:28:33"
"1285";"010623";"2026";"1";"faturamento";"146370,00";"13/02/2026 09:35:49";"13/02/2026 09:35:49"
"1286";"010623";"2026";"2";"faturamento";"161007,00";"13/02/2026 09:35:49";"13/02/2026 09:35:49"
"1287";"010623";"2026";"3";"faturamento";"146370,00";"13/02/2026 09:35:49";"13/02/2026 09:35:49"
"1288";"010623";"2026";"4";"faturamento";"146370,00";"13/02/2026 09:35:49";"13/02/2026 09:35:49"
"1289";"010623";"2026";"5";"faturamento";"150000,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1290";"010623";"2026";"6";"faturamento";"155000,00";"13/02/2026 09:35:49";"17/06/2026 15:50:48"
"1291";"010623";"2026";"7";"faturamento";"155000,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1292";"010623";"2026";"8";"faturamento";"155000,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1293";"010623";"2026";"9";"faturamento";"155000,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1294";"010623";"2026";"10";"faturamento";"155000,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1295";"010623";"2026";"11";"faturamento";"155000,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1296";"010623";"2026";"12";"faturamento";"155000,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1297";"010631";"2026";"1";"faturamento";"0,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1298";"010631";"2026";"2";"faturamento";"0,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1299";"010631";"2026";"3";"faturamento";"0,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1300";"010631";"2026";"4";"faturamento";"0,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1301";"010631";"2026";"5";"faturamento";"0,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1302";"010631";"2026";"6";"faturamento";"0,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1303";"010631";"2026";"7";"faturamento";"0,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1304";"010631";"2026";"8";"faturamento";"0,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1305";"010631";"2026";"9";"faturamento";"0,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1306";"010631";"2026";"10";"faturamento";"0,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1307";"010631";"2026";"11";"faturamento";"0,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1308";"010631";"2026";"12";"faturamento";"0,00";"13/02/2026 09:35:49";"17/06/2026 15:16:09"
"1345";"10653";"2026";"1";"faturamento";"5186,00";"13/02/2026 09:35:49";"19/05/2026 10:54:42"
"1346";"10653";"2026";"2";"faturamento";"5186,00";"13/02/2026 09:35:49";"19/05/2026 10:54:42"
"1347";"10653";"2026";"3";"faturamento";"5186,00";"13/02/2026 09:35:49";"19/05/2026 10:54:42"
"1348";"10653";"2026";"4";"faturamento";"80000,00";"13/02/2026 09:35:49";"19/05/2026 10:39:14"
"1383";"010659";"2026";"3";"faturamento";"895,00";"13/02/2026 09:35:49";"18/05/2026 16:36:02"
"1489";"010685";"2026";"1";"faturamento";"5394,00";"13/02/2026 09:35:50";"19/05/2026 10:54:41"
"1490";"010685";"2026";"2";"faturamento";"5394,00";"13/02/2026 09:35:50";"19/05/2026 10:54:41"
"1492";"010685";"2026";"4";"faturamento";"80000,00";"13/02/2026 09:35:50";"07/04/2026 12:25:28"
"1600";"010706";"2026";"4";"faturamento";"30000,00";"13/02/2026 09:35:51";"05/08/2026 10:28:33"
"1693";"010723";"2026";"1";"faturamento";"450000,00";"13/02/2026 09:35:52";"19/05/2026 10:54:34"
"1694";"010723";"2026";"2";"faturamento";"450000,00";"13/02/2026 09:35:52";"19/05/2026 10:54:34"
"1695";"010723";"2026";"3";"faturamento";"450000,00";"13/02/2026 09:35:52";"19/05/2026 10:54:34"
"1696";"010723";"2026";"4";"faturamento";"450000,00";"13/02/2026 09:35:52";"19/05/2026 10:54:34"
